date,cumulative_gains
2013-01-04,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-21,-91242.0918
2013-01-22,-158927.45130000002
2013-01-23,-531812.6238000001
2013-01-24,-551481.448
2013-01-25,-564113.3368
2013-01-28,-564113.3368
2013-01-29,-591678.6337000002
2013-01-30,-598998.2069000002
2013-01-31,-629607.3041000002
2013-02-01,-643970.4214000001
2013-02-04,-676824.3773000002
2013-02-05,-908548.6981
2013-02-06,-908548.6981
2013-02-07,-942567.6466000001
2013-02-08,-1200757.2599
2013-02-12,-1233678.3229999999
2013-02-13,-1309281.3901999998
2013-02-14,-1364323.2925
2013-02-15,-1513999.8965999994
2013-02-18,-1539427.6471999993
2013-02-19,-1592387.2799999996
2013-02-20,-1603486.2188999995
2013-02-21,-1636021.0761999998
2013-02-22,-1639471.9312999996
2013-02-25,-1639471.9312999996
2013-02-26,-1639471.9312999996
2013-02-27,-1673263.9786999996
2013-02-28,-1673263.9786999996
2013-03-01,-1666524.8333999997
2013-03-04,-1629911.5253999995
2013-03-05,-1635776.4008999995
2013-03-06,-1635776.4008999995
2013-03-07,-1648797.6937
2013-03-08,-1649445.6937
2013-03-11,-1649445.6937
2013-03-12,-1652912.3869
2013-03-13,-1666865.4417
2013-03-14,-1666865.4417
2013-03-15,-1676147.7200999998
2013-03-18,-1709787.8397999995
2013-03-19,-1709787.8397999995
2013-03-21,-1709787.8397999995
2013-03-22,-1714626.0173999995
2013-03-25,-1716086.1401999996
2013-03-26,-1716086.1401999996
2013-03-27,-1714730.3719999997
2013-03-28,-1724167.9629999998
2013-03-29,-1724167.9629999998
2013-04-01,-1724167.9629999998
2013-04-02,-1724167.9629999998
2013-04-03,-1724167.9629999998
2013-04-04,-1719349.2427999994
2013-04-05,-1651947.5521999996
2013-04-08,-1620091.2024999994
2013-04-09,-1620091.2024999994
2013-04-10,-1620091.2024999994
2013-04-11,-1620091.2024999994
2013-04-12,-1620091.2024999994
2013-04-15,-1626021.8511999997
2013-04-16,-1639750.8678999997
2013-04-17,-1662934.0611999996
2013-04-18,-1690648.3079999995
2013-04-19,-1701503.6489999995
2013-04-22,-1701503.6489999995
2013-04-23,-1701503.6489999995
2013-04-24,-1701503.6489999995
2013-04-25,-1701503.6489999995
2013-04-26,-1714291.0410999993
2013-04-30,-1714291.0410999993
2013-05-01,-1714291.0410999993
2013-05-02,-1714291.0410999993
2013-05-07,-1701680.5382999994
2013-05-08,-1694126.5659999994
2013-05-09,-1694126.5659999994
2013-05-10,-1675736.6389999997
2013-05-13,-1675736.6389999997
2013-05-14,-1663376.5629999998
2013-05-15,-1644437.9047999994
2013-05-16,-1649438.8895999996
2013-05-17,-1649438.8895999996
2013-05-20,-1649438.8895999996
2013-05-21,-1649438.8895999996
2013-05-22,-1649438.8895999996
2013-05-23,-1669418.4547999997
2013-05-24,-1669418.4547999997
2013-05-27,-1669418.4547999997
2013-05-28,-1669418.4547999997
2013-05-29,-1669418.4547999997
2013-05-30,-1669418.4547999997
2013-05-31,-1669418.4547999997
2013-06-03,-1669418.4547999997
2013-06-04,-1669418.4547999997
2013-06-05,-1669418.4547999997
2013-06-06,-1669418.4547999997
2013-06-07,-1669418.4547999997
2013-06-10,-1669418.4547999997
2013-06-11,-1669418.4547999997
2013-06-12,-1669418.4547999997
2013-06-13,-1669418.4547999997
2013-06-14,-1669418.4547999997
2013-06-17,-1669418.4547999997
2013-06-18,-1669418.4547999997
2013-06-19,-1669418.4547999997
2013-06-20,-1669418.4547999997
2013-06-21,-1668183.0177999998
2013-06-24,-1668183.0177999998
2013-06-25,-1668183.0177999998
2013-06-26,-1681922.6295999994
2013-06-27,-1681922.6295999994
2013-06-28,-1681922.6295999994
2013-07-01,-1681922.6295999994
2013-07-02,-1681922.6295999994
2013-07-03,-1681922.6295999994
2013-07-04,-1681922.6295999994
2013-07-05,-1681922.6295999994
2013-07-08,-1693769.4023999993
2013-07-09,-1693769.4023999993
2013-07-10,-1693769.4023999993
2013-07-11,-1693769.4023999993
2013-07-12,-1693769.4023999993
2013-07-16,-1693769.4023999993
2013-07-17,-1693769.4023999993
2013-07-18,-1693769.4023999993
2013-07-19,-1700926.7826999992
2013-07-22,-1753008.0958999994
2013-07-23,-1753008.0958999994
2013-07-24,-1753008.0958999994
2013-07-25,-1765515.1484999994
2013-07-26,-1765515.1484999994
2013-07-29,-1765515.1484999994
2013-07-30,-1765515.1484999994
2013-07-31,-1765515.1484999994
2013-08-01,-1745363.9914999998
2013-08-02,-1725048.1721999997
2013-08-05,-1725048.1721999997
2013-08-06,-1725048.1721999997
2013-08-07,-1725048.1721999997
2013-08-08,-1725048.1721999997
2013-08-09,-1725048.1721999997
2013-08-12,-1725048.1721999997
2013-08-13,-1725048.1721999997
2013-08-14,-1725048.1721999997
2013-08-15,-1725048.1721999997
2013-08-16,-1725048.1721999997
2013-08-19,-1725048.1721999997
2013-08-20,-1725048.1721999997
2013-08-21,-1725048.1721999997
2013-08-22,-1725048.1721999997
2013-08-23,-1725048.1721999997
2013-08-26,-1725048.1721999997
2013-08-27,-1725048.1721999997
2013-08-28,-1725048.1721999997
2013-08-29,-1725048.1721999997
2013-08-30,-1725048.1721999997
2013-09-02,-1725048.1721999997
